Código SIGEP,Nombre de la entidad,Nit,Orden,Suborden,Código DIVIPOLA Departamento,Departamento,Código DIVIPOLA Municipio ,Municipio,Clasificación Orgánica,Sector,Nivel,Tipo de Vinculacíon ,Naturaleza jurídica ,Longitud,Latitud,Año,Trimestre,Fuente,Sexo: Hombres,Sexo: Mujeres,Sexo: No reporta,Número contratistas,Número servidores públicos,Nivel: Postgrado,Nivel: Profesional,Nivel: Técnicas - Tecnológicas,Nivel: Secundaria,Nivel: Primaria,Nivel: No reporta,Edad: 18-21,Edad: 22-24,Edad: 25-28,Edad: No reporta
4412,GOBERNACIÓN DE MAGDALENA,800103920,Territorial,Departamental,47,Magdalena,001,SANTA MARTA,Ejecutiva,No Aplica,Central,Adscripción,Gobernación,"-74,211023","11,240355",2020,4,Ultima actualización: Diciembre 2020,67,97,0,161,3,16,86,39,23,0,0,12,39,113,0
1043,ALCALDÍA DE SAN JUAN DE ARAMA,800098205,Territorial,Municipal,50,Meta,683,SAN JUAN DE ARAMA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,88941","3,34645",2020,4,Ultima actualización: Diciembre 2020,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0
8176,ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,901.037.916-1.,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Salud y Protección Social,Descentralizado,Adscripción,Especial,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,16,38,0,49,5,14,27,10,3,0,0,0,6,48,0
5291,CAJA PROMOTORA DE VIVIENDA MILITAR Y DE POLICÍA,860021967-7,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Defensa,Descentralizado,Vinculación,Empresas Industriales y Comerciales del Estado,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,22,19,0,34,7,5,24,12,0,0,0,4,12,25,0
0722,ALCALDÍA DE LETICIA,899999302,Territorial,Municipal,91,Amazonas,001,LETICIA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-69,935907","-4,203165",2020,4,Ultima actualización: Diciembre 2020,1,2,0,3,0,0,2,1,0,0,0,0,0,3,0
0475,ALCALDÍA DE SAN JUAN DE GIRÓN,890204802,Territorial,Municipal,68,Santander,307,GIRÓN,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,169265","7,073968",2020,4,Ultima actualización: Diciembre 2020,9,18,0,0,27,7,6,8,6,0,0,0,7,20,0
0914,ALCALDÍA DE PUENTE NACIONAL,890209299,Territorial,Municipal,68,Santander,572,PUENTE NACIONAL,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,677635","5,877927",2020,4,Ultima actualización: Diciembre 2020,4,22,0,26,0,3,5,14,4,0,0,2,12,12,0
4622,INSTITUTO DEPARTAMENTAL DE TRANSITO DEL QUINDIO,890001536,Territorial,Municipal,63,Quindio,001,ARMENIA,Ejecutiva,No Aplica,Descentralizado,Adscripción,Establecimiento Público,"-75,675689","4,535",2020,4,Ultima actualización: Diciembre 2020,1,2,0,3,0,0,0,2,1,0,0,0,1,2,0
4402,GOBERNACIÓN DE ATLÁNTICO,890102006-1,Territorial,Departamental,08,Atlántico,001,BARRANQUILLA,Ejecutiva,No Aplica,Central,Adscripción,Gobernación,"-74,806981","11,004107",2020,4,Ultima actualización: Diciembre 2020,23,43,0,66,0,8,35,14,9,0,0,8,10,48,0
1239,ALCALDÍA DE VALPARAISO- CAQUETÁ,800050407,Territorial,Municipal,18,Caquetá,860,VALPARAÍSO,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,574247","1,062363",2020,4,Ultima actualización: Diciembre 2020,3,2,0,5,0,0,2,2,1,0,0,0,2,3,0
0196,ALCALDÍA DE CARAMANTA,890984132,Territorial,Municipal,05,Antioquia,145,CARAMANTA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,643707","5,548956",2020,4,Ultima actualización: Diciembre 2020,3,7,0,6,4,3,1,5,1,0,0,1,3,6,0
3784,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ANGOSTURA S.A,900310485,Territorial,Municipal,05,Antioquia,038,ANGOSTURA,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas de Servicios Públicos Domiciliarios - Mixtas,"-75,335829","6,885648",2020,4,Ultima actualización: Diciembre 2020,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0377,ALCALDÍA DE CONCEPCIÓN SANTANDER,800104060,Territorial,Municipal,68,Santander,207,CONCEPCIÓN,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,694494","6,769822",2020,4,Ultima actualización: Diciembre 2020,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2985,CENTRO DE SALUD NIVEL I LUIS ACOSTA - LA UNION,814006689-4,Territorial,Municipal,52,Nariño,399,LA UNIÓN,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-77,131962","1,599548",2020,4,Ultima actualización: Diciembre 2020,6,21,0,27,0,0,1,25,1,0,0,4,8,15,0
0978,ALCALDÍA DE SABANA DE TORRES,890204643,Territorial,Municipal,68,Santander,655,SABANA DE TORRES,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,500055","7,394792",2020,4,Ultima actualización: Diciembre 2020,6,6,0,12,0,0,5,4,3,0,0,1,5,6,0
1221,ALCALDÍA DE UBATÉ,899999281,Territorial,Municipal,25,Cundinamarca,843,VILLA DE SAN DIEGO DE UBATE,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,815439","5,309822",2020,4,Ultima actualización: Diciembre 2020,18,22,0,20,20,1,30,6,3,0,0,0,11,29,0
0993,ALCALDÍA DE SALENTO,890001127,Territorial,Municipal,63,Quindio,690,SALENTO,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,570777","4,637376",2020,4,Ultima actualización: Diciembre 2020,8,3,0,11,0,2,4,4,1,0,0,1,2,8,0
5396,REGISTRADURIA NACIONAL DEL ESTADO CIVIL,899999040,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Organizacion electoral,No Aplica,No Aplica,No Aplica,Registradora Nacional,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,75,145,0,0,220,7,65,23,125,0,0,35,59,126,0
8025,AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN,900477169-8,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Presidencia de la República,Descentralizado,Adscripción,Unidad Administrativa Especial con Personería Jurídica,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,31,64,0,92,3,4,65,21,5,0,0,0,10,85,0
1077,ALCALDÍA DE SAN VICENTE DE CHUCURÍ - SANTANDER,800099829,Territorial,Municipal,68,Santander,689,SAN VICENTE DE CHUCURÍ,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,413233","6,878518",2020,4,Ultima actualización: Diciembre 2020,1,2,0,3,0,0,1,2,0,0,0,0,0,3,0
0669,"INSTITUTO COLOMBIANO DE CRÉDITO EDUCATIVO Y ESTUDIOS TÉCNICOS EN EL EXTERIOR ""MARIANO OSPINA PÉREZ""",899999035-7,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Educación,Descentralizado,Vinculación,Especial,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,14,35,0,46,3,13,24,10,2,0,0,1,4,44,0
1287,ALCALDÍA DE ZONA BANANERA,819003297,Territorial,Municipal,47,Magdalena,980,ZONA BANANERA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-74,17097","10,792245",2020,4,Ultima actualización: Diciembre 2020,5,3,0,3,5,1,3,3,1,0,0,1,3,4,0
0567,ALCALDÍA DE EL ZULIA,800039803,Territorial,Municipal,54,Norte de Santander,261,EL ZULIA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,604826","7,937289",2020,4,Ultima actualización: Diciembre 2020,5,12,0,16,1,1,10,5,1,0,0,1,5,11,0
1091,ALCALDÍA DE SANTA MARÍA - HUILA,891180076,Territorial,Municipal,41,Huila,676,SANTA MARÍA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,586386","2,939062",2020,4,Ultima actualización: Diciembre 2020,1,3,0,4,0,0,0,2,2,0,0,1,1,2,0
0180,ALCALDÍA DE CALDAS BOYACÁ,891801796,Territorial,Municipal,15,Boyacá,131,CALDAS,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,865089","5,554592",2020,4,Ultima actualización: Diciembre 2020,1,1,0,2,0,1,0,1,0,0,0,0,1,1,0
0826,ESCUELA TECNOLÓGICA INSTITUTO TÉCNICO CENTRAL,860523694-6,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Educación,Descentralizado,Adscripción,Establecimiento Público,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,16,8,0,24,0,0,12,9,3,0,0,0,13,11,0
1155,ALCALDÍA DE SUPÍA,890801150,Territorial,Municipal,17,Caldas,777,SUPÍA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,650401","5,45589",2020,4,Ultima actualización: Diciembre 2020,1,2,0,3,0,0,2,0,1,0,0,0,2,1,0
0582,ALCALDÍA DE FLORIDA,800100519,Territorial,Municipal,76,Valle del Cauca,275,FLORIDA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-76,235361","3,321334",2020,4,Ultima actualización: Diciembre 2020,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3073,HOSPITAL DEPARTAMENTAL DE NARIÑO,891200528,Territorial,Departamental,52,Nariño,001,PASTO,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-77,285787","1,205884",2020,4,Ultima actualización: Diciembre 2020,10,7,0,17,0,0,8,9,0,0,0,1,2,14,0
0788,ALCALDÍA DE MORELIA,800095773,Territorial,Municipal,18,Caquetá,479,MORELIA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,723179","1,485694",2020,4,Ultima actualización: Diciembre 2020,1,3,0,4,0,0,1,3,0,0,0,0,1,3,0
0804,ALCALDÍA DE NEIVA,891180009,Territorial,Municipal,41,Huila,001,NEIVA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-75,2809","2,934484",2020,4,Ultima actualización: Diciembre 2020,23,24,0,0,47,0,14,29,4,0,0,1,17,29,0
1210,ALCALDÍA DE TUNJA,891800846 - 1,Territorial,Municipal,15,Boyacá,001,TUNJA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,357557","5,544642",2020,4,Ultima actualización: Diciembre 2020,42,83,0,124,1,31,66,21,7,0,0,10,27,88,0
1145,ALCALDÍA DE SUAITA,890204985,Territorial,Municipal,68,Santander,770,SUAITA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,44277","6,10134",2020,4,Ultima actualización: Diciembre 2020,8,6,0,14,0,4,4,6,0,0,0,0,5,9,0
6118,INSTITUTO POPULAR DE CULTURA DE CALI,900431928-3,Territorial,Municipal,76,Valle del Cauca,001,CALI,Ejecutiva,No Aplica,Descentralizado,Adscripción,Establecimiento Público,"-76,531985","3,451647",2020,4,Ultima actualización: Diciembre 2020,2,5,0,7,0,0,3,2,2,0,0,0,4,3,0
3301,HOSPITAL  SANTA BARBARA  - VENADILLO,890701010,Territorial,Municipal,73,Tolima,861,VENADILLO,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-74,931161","4,714815",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
0511,ALCALDÍA DE YUMBO,890399025-6,Territorial,Municipal,76,Valle del Cauca,892,YUMBO,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-76,495026","3,545337",2020,4,Ultima actualización: Diciembre 2020,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1113,ALCALDÍA DE SARDINATA,800099263,Territorial,Municipal,54,Norte de Santander,720,SARDINATA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,799937","8,085092",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
4672,NO APLICA 27,900005393,Territorial,No Aplica,50,Meta,573,PUERTO LÓPEZ,No Aplica,No Aplica,No Aplica,Adscripción,Establecimiento Público,"-72,955918","4,091354",2020,4,Ultima actualización: Diciembre 2020,6,2,0,8,0,0,2,6,0,0,0,1,4,3,0
1067,ALCALDÍA DE SAN PEDRO DE CARTAGO,800148720,Territorial,Municipal,52,Nariño,694,SAN PEDRO DE CARTAGO,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-77,12024","1,552654",2020,4,Ultima actualización: Diciembre 2020,1,1,0,2,0,0,2,0,0,0,0,0,0,2,0
1050,ALCALDÍA DE SAN LORENZO,800099142,Territorial,Municipal,52,Nariño,687,SAN LORENZO,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-77,215167","1,503498",2020,4,Ultima actualización: Diciembre 2020,14,20,0,29,5,1,14,15,4,0,0,5,11,18,0
4092,EMPRESAS PÚBLICAS DE MONTERREY S.A.,900006734,Territorial,Municipal,85,Casanare,162,MONTERREY,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas de Servicios Públicos Domiciliarios - Oficiales,"-72,893364","4,875246",2020,4,Ultima actualización: Diciembre 2020,2,7,0,3,6,0,3,5,0,1,0,1,5,3,0
3193,HOSPITAL  SAN ISIDRO  -GIRALDO,800193392,Territorial,Departamental,05,Antioquia,306,GIRALDO,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-75,953096","6,680623",2020,4,Ultima actualización: Diciembre 2020,1,6,0,3,4,1,4,1,1,0,0,1,3,3,0
6238,UNIVERSIDAD DEL MAGDALENA,891780111-8,Territorial,Departamental,47,Magdalena,001,SANTA MARTA,Entes autónomos,No Aplica,No Aplica,No Aplica,Ente Universitario Autónomo,"-74,211023","11,240355",2020,4,Ultima actualización: Diciembre 2020,184,218,0,361,41,64,254,29,55,0,0,12,91,299,0
3030,CENTRO DE SALUD SANTA LUCIA DE CUCAITA,820003388,Territorial,Municipal,15,Boyacá,224,CUCAITA,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-73,454842","5,543296",2020,4,Ultima actualización: Diciembre 2020,2,3,0,1,4,0,4,0,1,0,0,1,1,3,0
0619,ALCALDÍA DE GUACA,890208360,Territorial,Municipal,68,Santander,318,GUACA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,856219","6,876227",2020,4,Ultima actualización: Diciembre 2020,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0698,ALCALDÍA DE LA PAZ - SANTANDER,890205308,Territorial,Municipal,68,Santander,397,LA PAZ,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,57585","6,18981",2020,4,Ultima actualización: Diciembre 2020,4,7,0,8,3,0,6,5,0,0,0,1,0,10,0
0308,ALCALDÍA DE CUNDAY,800100052,Territorial,Municipal,73,Tolima,226,CUNDAY,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-74,69189","4,060503",2020,4,Ultima actualización: Diciembre 2020,1,1,0,2,0,0,1,0,1,0,0,0,1,1,0
8309,CORPORACIÓN AGENCIA NACIONAL DE GOBIERNO DIGITAL,NULL,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Tecnologías de la Información y las Comunicaciones,Descentralizado,Vinculación,Entidad descentralizada indirecta,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,2,5,0,7,0,7,0,0,0,0,0,0,2,5,0
0875,ALCALDÍA DE PISBA,800066389,Territorial,Municipal,15,Boyacá,550,PISBA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,484575","5,722797",2020,4,Ultima actualización: Diciembre 2020,4,4,0,7,1,1,1,2,4,0,0,1,4,3,0
3562,HOSPITAL SAN ANTONIO DE MITÚ,845000038,Territorial,Municipal,97,Vaupés,001,MITÚ,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-70,233618","1,252174",2020,4,Ultima actualización: Diciembre 2020,0,2,0,1,1,0,1,0,1,0,0,0,0,2,0
0299,INSTITUTO NACIONAL DE SALUD,899999403-4,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Salud y Protección Social,Descentralizado,Adscripción,Instituto Científico y Tecnológico,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,6,7,0,13,0,2,9,2,0,0,0,0,1,12,0
3061,HOSPITAL  SAN ANTONIO  - NATAGAIMA,801182136,Territorial,Municipal,73,Tolima,483,NATAGAIMA,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-75,093183","3,625529",2020,4,Ultima actualización: Diciembre 2020,1,3,0,3,1,0,2,2,0,0,0,0,0,4,0
3420,HOSPITAL LAUREANO PINO - SAN JÓSE DE LA MONTAÑA,890984427-2,Territorial,Municipal,05,Antioquia,658,SAN JOSÉ DE LA MONTAÑA,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-75,684091","6,849736",2020,4,Ultima actualización: Diciembre 2020,0,6,0,3,3,0,2,4,0,0,0,1,1,4,0
8005,MINISTERIO DE JUSTICIA Y DEL DERECHO,900457461-9,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Justicia y del Derecho,Central,Cabeza,Ministerio,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,6,5,0,11,0,2,6,2,1,0,0,2,2,7,0
3636,HOSPITAL UNIVERSITARIO  SAN JOSE  - POPAYAN,891580002,Territorial,Municipal,19,Cauca,001,POPAYÁN,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-76,614739","2,444814",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
4805,INSTITUTO PARA LA RECREACIÓN Y EL DEPORTE DE VICHADA,842000142,Territorial,Municipal,99,Vichada,001,PUERTO CARREÑO,Ejecutiva,No Aplica,Descentralizado,Adscripción,Establecimiento Público,"-67,488462","6,184766",2020,4,Ultima actualización: Diciembre 2020,9,10,0,19,0,0,3,11,5,0,0,1,9,9,0
0235,COMISIÓN DE REGULACIÓN DE COMUNICACIONES,830002593-6,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Tecnologías de la Información y las Comunicaciones,Descentralizado,Adscripción,Unidad Administrativa Especial sin Personería Jurídica,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,9,3,0,8,4,1,9,2,0,0,0,0,1,11,0
5338,"MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN",899999296-2,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,"Ciencia, Tecnología e innovación",Central,Cabeza,Ministerio,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,19,32,0,48,3,11,28,5,4,3,0,0,8,43,0
0813,ALCALDÍA DE NUQUÍ,891680076,Territorial,Municipal,27,Chocó,495,NUQUÍ,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-77,266697","5,709563",2020,4,Ultima actualización: Diciembre 2020,4,7,0,5,6,0,4,4,3,0,0,0,2,9,0
0673,ALCALDÍA DE JORDÁN,800124166,Territorial,Municipal,68,Santander,370,JORDÁN,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,095942","6,732449",2020,4,Ultima actualización: Diciembre 2020,15,6,0,21,0,0,1,5,15,0,0,9,5,7,0
0824,"INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA PROFESIONAL DEL DEPARTAMENTO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",892400461-5,Nacional,No Aplica,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",564,PROVIDENCIA,Ejecutiva,Educación,Descentralizado,Adscripción,Establecimiento Público,"-81,37127","13,35395",2020,4,Ultima actualización: Diciembre 2020,1,1,0,2,0,0,2,0,0,0,0,0,0,2,0
0281,FONDO NACIONAL DE AHORRO,899999284-4,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Vivienda Ciudad y Territorio,Descentralizado,Vinculación,Empresas Industriales y Comerciales del Estado,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,2,2,0,0,4,0,3,1,0,0,0,0,0,4,0
0822,INSTITUTO TOLIMENSE DE FORMACIÓN TÉCNICA PROFESIONAL,800173719-0,Nacional,No Aplica,73,Tolima,268,ESPINAL,Ejecutiva,Educación,Descentralizado,Adscripción,Establecimiento Público,"-74,884341","4,149819",2020,4,Ultima actualización: Diciembre 2020,11,18,0,29,0,2,10,14,3,0,0,2,7,20,0
0153,ALCALDÍA DE BUCARASICA,890503483,Territorial,Municipal,54,Norte de Santander,109,BUCARASICA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-72,86804","8,04081",2020,4,Ultima actualización: Diciembre 2020,23,20,0,42,1,0,10,16,12,5,0,8,16,19,0
0297,"INSTITUTO NACIONAL DE CANCEROLOGÍA, EMPRESA SOCIAL DEL ESTADO",899999.092-7,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Salud y Protección Social,Descentralizado,Adscripción,Empresas Sociales del Estado,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,8,11,0,3,16,1,7,7,4,0,0,2,5,12,0
1123,ALCALDÍA DE SIMIJACA,899999384,Territorial,Municipal,25,Cundinamarca,745,SIMIJACA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,851971","5,503838",2020,4,Ultima actualización: Diciembre 2020,9,17,0,26,0,1,8,13,4,0,0,1,11,14,0
0058,ALCALDÍA DE AGUADAS CALDAS,890801132,Territorial,Municipal,17,Caldas,013,AGUADAS,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,453135","5,608334",2020,4,Ultima actualización: Diciembre 2020,0,3,0,3,0,0,2,0,1,0,0,0,1,2,0
0602,ALCALDÍA DE GAMA,800094684,Territorial,Municipal,25,Cundinamarca,299,GAMA,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-73,610321","4,762033",2020,4,Ultima actualización: Diciembre 2020,1,1,0,2,0,0,0,1,1,0,0,0,1,1,0
0376,FONDO DE PREVISIÓN SOCIAL DEL CONGRESO DE LA REPÚBLICA,899999734-7,Nacional,No Aplica,11,Bogotá D.C,001,BOGOTÁ,Ejecutiva,Salud y Protección Social,Descentralizado,Adscripción,Establecimiento Público,"-74,072092","4,710989",2020,4,Ultima actualización: Diciembre 2020,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
2886,EMPRESA SOCIAL DEL ESTADO BARRANCABERMEJA,829001846-6,Territorial,Municipal,68,Santander,081,BARRANCABERMEJA,Ejecutiva,No Aplica,Descentralizado,Vinculación,Empresas Sociales del Estado,"-73,851932","7,061708",2020,4,Ultima actualización: Diciembre 2020,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0133,ALCALDÍA DE BELÉN - NARIÑO,800035482,Territorial,Municipal,52,Nariño,083,BELÉN,Ejecutiva,No Aplica,Central,Adscripción,Alcaldía,"-77,016446","1,595516",2020,4,Ultima actualización: Diciembre 2020,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
